City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Qeshm,IR,89.6,26.96,56.27,
4,Tambacounda,SN,82.4,13.75,-13.76,
5,Dakoro,NE,79.38,14.51,6.76,
9,Jamestown,US,78.01,42.1,-79.24,
10,Bowmore,US,77.0,34.94,-79.3,
11,Robertson,US,87.8,36.52,-86.87,
24,Alvorada,BR,84.4,-12.48,-49.12,
31,Luziania,BR,75.2,-16.25,-47.95,
32,Melilla,ES,78.8,35.29,-2.94,
33,Bonthe,SL,76.6,7.53,-12.51,
36,Male,MV,84.2,4.17,73.51,
45,Cayenne,GF,80.6,4.93,-52.33,
46,Saint-Louis,SN,86.04,16.33,-15.0,
51,Marawi,PH,77.0,8.0,124.29,
54,Puerto Quijarro,BO,79.77,-17.78,-57.77,
55,Mahibadhoo,MV,84.09,3.78,72.97,
57,Kismayo,SO,76.68,-0.36,42.55,
58,Tazmalt,DZ,75.2,36.39,4.4,
63,Georgetown,MY,80.6,5.41,100.34,
64,Victoria,HK,87.01,22.29,114.16,
66,Bud,US,84.99,39.45,-86.18,
76,Fasa,IR,77.0,28.94,53.65,
79,Kavaratti,IN,81.05,10.57,72.64,
85,Abu Kamal,SY,77.04,34.45,40.92,
96,Bhadohi,IN,79.65,25.42,82.57,
98,Uthal,PK,82.54,25.81,66.62,
100,Itarema,BR,76.77,-2.92,-39.92,
105,Jacqueville,CI,75.2,5.21,-4.41,
106,Escanaba,US,82.4,45.75,-87.06,
107,Ugoofaaru,MV,83.26,5.67,73.0,
109,Tahta,EG,84.2,26.77,31.5,
118,Macapa,BR,82.4,0.04,-51.07,
125,Mogadishu,SO,76.46,2.04,45.34,
126,Muli,MV,83.77,2.92,73.57,
129,Nicolas Bravo,MX,87.8,18.45,-88.92,
132,Vilhena,BR,78.8,-12.74,-60.15,
138,Sinnamary,GF,78.64,5.38,-52.95,
142,Sao Filipe,CV,78.76,14.9,-24.5,
146,Matara,LK,76.75,5.95,80.54,
154,Galle,LK,79.54,6.04,80.22,
156,Mazagao,BR,82.4,-0.12,-51.29,
158,Saint-Georges,GD,80.74,12.06,-61.75,
159,Nuevitas,CU,84.2,21.55,-77.26,
